Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per active user,Average engagement time per active user,Event count,Key events,User key event rate,Total revenue
7,7,7,0.875,1,8.285714286,49,0,0,0
2,2,0,0,0,0,6,0,0,0
